!Agilent Technologies,E4990A,MY54101026,A.02.12
!Date: Fri Aug 28 18:37:56 2020

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, +9.15439618024e-002, +1.24746338976e+000
+2.49000000000e+001, +1.00139168666e-001, +1.55040535321e+000
+2.98000000000e+001, +1.08542913783e-001, +1.85104805949e+000
+3.47000000000e+001, +1.17830773212e-001, +2.15382404377e+000
+3.96000000000e+001, +1.25490478625e-001, +2.45090464771e+000
+4.45000000000e+001, +1.28701444639e-001, +2.74806184454e+000
+4.94000000000e+001, +1.47290028718e-001, +3.03391791200e+000
+5.43000000000e+001, +1.43395877972e-001, +3.34772078744e+000
+5.92000000000e+001, +1.50977689657e-001, +3.63478151250e+000
+6.41000000000e+001, +1.57221810864e-001, +3.93179035059e+000
+6.90000000000e+001, +1.64934068218e-001, +4.22996347117e+000
+7.39000000000e+001, +1.67441234729e-001, +4.52208635444e+000
+7.88000000000e+001, +1.74081878306e-001, +4.81669746852e+000
+8.37000000000e+001, +1.80343090982e-001, +5.11172167236e+000
+8.86000000000e+001, +1.83281811946e-001, +5.40739183072e+000
+9.35000000000e+001, +1.91884433447e-001, +5.70242593503e+000
+9.84000000000e+001, +1.96385778538e-001, +5.99689312847e+000
+1.03300000000e+002, +2.02359887659e-001, +6.29290012644e+000
+1.08200000000e+002, +2.08008766597e-001, +6.58605066121e+000
+1.13100000000e+002, +2.13314210131e-001, +6.88079397957e+000
+1.18000000000e+002, +2.18496191425e-001, +7.17565406171e+000
+1.22900000000e+002, +2.25838939722e-001, +7.47023684557e+000
+1.27800000000e+002, +2.29389156142e-001, +7.76386251324e+000
+1.32700000000e+002, +2.35640766280e-001, +8.05844139284e+000
+1.37600000000e+002, +2.41327604304e-001, +8.35312711163e+000
+1.42500000000e+002, +2.48125355446e-001, +8.64889019186e+000
+1.47400000000e+002, +2.49441396220e-001, +8.93703860476e+000
+1.52300000000e+002, +2.55048465818e-001, +9.23335960295e+000
+1.57200000000e+002, +2.67722027877e-001, +9.52729481845e+000
+1.62100000000e+002, +2.72159235188e-001, +9.82052318608e+000
+1.67000000000e+002, +2.77082073135e-001, +1.01146137199e+001
+1.71900000000e+002, +2.82355393845e-001, +1.04081543069e+001
+1.76800000000e+002, +2.86161424687e-001, +1.07027685713e+001
+1.81700000000e+002, +2.94790774267e-001, +1.09925485143e+001
+1.86600000000e+002, +3.01932198284e-001, +1.12899933956e+001
+1.91500000000e+002, +3.07192927764e-001, +1.15827908379e+001
+1.96400000000e+002, +3.12710901145e-001, +1.18741580821e+001
+2.01300000000e+002, +3.18678458841e-001, +1.21676050068e+001
+2.06200000000e+002, +3.24757913878e-001, +1.24606395707e+001
+2.11100000000e+002, +3.30999457662e-001, +1.27539838635e+001
+2.16000000000e+002, +3.37824623457e-001, +1.30462702107e+001
+2.20900000000e+002, +3.43885308171e-001, +1.33391123400e+001
+2.25800000000e+002, +3.49779200902e-001, +1.36320499679e+001
+2.30700000000e+002, +3.55596144488e-001, +1.39254353043e+001
+2.35600000000e+002, +3.62213196479e-001, +1.42190736368e+001
+2.40500000000e+002, +3.72485874581e-001, +1.45084117321e+001
+2.45400000000e+002, +3.74285907584e-001, +1.48057871676e+001
+2.50300000000e+002, +3.78846062431e-001, +1.50964253450e+001
+2.55200000000e+002, +3.89887658513e-001, +1.53902724364e+001
+2.60100000000e+002, +3.95528208507e-001, +1.56761533202e+001
+2.65000000000e+002, +4.04452663540e-001, +1.59696858528e+001
+2.69900000000e+002, +4.10203856079e-001, +1.62621521390e+001
+2.74800000000e+002, +4.15423679665e-001, +1.65553202216e+001
+2.79700000000e+002, +4.21954502237e-001, +1.68470959893e+001
+2.84600000000e+002, +4.28305371556e-001, +1.71384439808e+001
+2.89500000000e+002, +4.34322953993e-001, +1.74310271142e+001
+2.94400000000e+002, +4.44621712151e-001, +1.77242331833e+001
+2.99300000000e+002, +4.49794428226e-001, +1.80141274778e+001
+3.04200000000e+002, +4.56656784743e-001, +1.83059338238e+001
+3.09100000000e+002, +4.64607514829e-001, +1.85975464921e+001
+3.14000000000e+002, +4.72181354743e-001, +1.88894105835e+001
+3.18900000000e+002, +4.78691343442e-001, +1.91791499970e+001
+3.23800000000e+002, +4.85218247817e-001, +1.94733919791e+001
+3.28700000000e+002, +4.92704051058e-001, +1.97654962287e+001
+3.33600000000e+002, +5.01104509954e-001, +2.00554109063e+001
+3.38500000000e+002, +5.06844745767e-001, +2.03455947370e+001
+3.43400000000e+002, +5.16584919820e-001, +2.06382109951e+001
+3.48300000000e+002, +5.22697136450e-001, +2.09309367715e+001
+3.53200000000e+002, +5.31088280364e-001, +2.12216703263e+001
+3.58100000000e+002, +5.38799731920e-001, +2.15117721784e+001
+3.63000000000e+002, +5.43054312723e-001, +2.18016388985e+001
+3.67900000000e+002, +5.53659400693e-001, +2.20922364457e+001
+3.72800000000e+002, +5.61208134282e-001, +2.23850619733e+001
+3.77700000000e+002, +5.68108599836e-001, +2.26750661127e+001
+3.82600000000e+002, +5.74794832185e-001, +2.29659389183e+001
+3.87500000000e+002, +5.82107299195e-001, +2.32572297747e+001
+3.92400000000e+002, +5.91098385402e-001, +2.35479000462e+001
+3.97300000000e+002, +5.98310738038e-001, +2.38396599052e+001
+4.02200000000e+002, +6.06308499128e-001, +2.41306367301e+001
+4.07100000000e+002, +6.14863046615e-001, +2.44194619383e+001
+4.12000000000e+002, +6.20301972270e-001, +2.47103411727e+001
+4.16900000000e+002, +6.29124038687e-001, +2.50013118715e+001
+4.21800000000e+002, +6.35742628421e-001, +2.52917826541e+001
+4.26700000000e+002, +6.42391015024e-001, +2.55827181066e+001
+4.31600000000e+002, +6.52627844213e-001, +2.58759142180e+001
+4.36500000000e+002, +6.63796445644e-001, +2.61578655773e+001
