!Agilent Technologies,E4990A,MY54101026,A.02.12
!Date: Mon Aug 09 09:53:11 2021

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+2.00000000000e+001, +1.25582285311e+000, +8.59955852392e+001
+2.04660000000e+001, +1.28449515266e+000, +8.60401820509e+001
+2.09430000000e+001, +1.31382236412e+000, +8.60847477828e+001
+2.14300000000e+001, +1.34377477801e+000, +8.61300158102e+001
+2.19300000000e+001, +1.37447291133e+000, +8.61755143446e+001
+2.24400000000e+001, +1.40575777419e+000, +8.62155950302e+001
+2.29630000000e+001, +1.43782155648e+000, +8.62580208392e+001
+2.34980000000e+001, +1.47061435035e+000, +8.62987778161e+001
+2.40450000000e+001, +1.50410949791e+000, +8.63392223085e+001
+2.46050000000e+001, +1.53836192319e+000, +8.63773539317e+001
+2.51790000000e+001, +1.57346699206e+000, +8.64150270856e+001
+2.57650000000e+001, +1.60926280042e+000, +8.64534527109e+001
+2.63650000000e+001, +1.64588460322e+000, +8.64894327363e+001
+2.69790000000e+001, +1.68333305690e+000, +8.65247789923e+001
+2.76080000000e+001, +1.72168598283e+000, +8.65609277097e+001
+2.82510000000e+001, +1.76084701464e+000, +8.65952493022e+001
+2.89090000000e+001, +1.80089708555e+000, +8.66282806366e+001
+2.95820000000e+001, +1.84185113321e+000, +8.66626556309e+001
+3.02710000000e+001, +1.88372710289e+000, +8.66950760590e+001
+3.09760000000e+001, +1.92656545814e+000, +8.67265686031e+001
+3.16980000000e+001, +1.97041323674e+000, +8.67585170430e+001
+3.24360000000e+001, +2.01519740940e+000, +8.67909703671e+001
+3.31920000000e+001, +2.06100863101e+000, +8.68227216701e+001
+3.39650000000e+001, +2.10786664331e+000, +8.68531069107e+001
+3.47560000000e+001, +2.15576134014e+000, +8.68829010986e+001
+3.55660000000e+001, +2.20479938229e+000, +8.69145354746e+001
+3.63940000000e+001, +2.25487904269e+000, +8.69440670458e+001
+3.72420000000e+001, +2.30614777988e+000, +8.69736184379e+001
+3.81090000000e+001, +2.35853148352e+000, +8.70017417224e+001
+3.89970000000e+001, +2.41217278901e+000, +8.70319051021e+001
+3.99050000000e+001, +2.46698314625e+000, +8.70594748049e+001
+4.08350000000e+001, +2.52309618668e+000, +8.70874179153e+001
+4.17860000000e+001, +2.58048924431e+000, +8.71159276941e+001
